GWH ID	Wu ID	IHSM SDB ID
GWHTABKE000359	Yangtao2018394	Aveca01vR1g03590.1
GWHTABKE000360	Yangtao2018393	Aveca01vR1g03600.1
GWHTABKE000361	Yangtao2018392	Aveca01vR1g03610.1
GWHTABKE000362	Yangtao2018391	Aveca01vR1g03620.1
GWHTABKE000363	Yangtao2018390	Aveca01vR1g03630.1
GWHTABKE000364	Yangtao2018389	Aveca01vR1g03640.1
GWHTABKE000365	Yangtao2018388	Aveca01vR1g03650.1
GWHTABKE000366	Yangtao2018387	Aveca01vR1g03660.1
GWHTABKE000367	Yangtao2018386	Aveca01vR1g03670.1
GWHTABKE000368	Yangtao2018385	Aveca01vR1g03680.1
GWHTABKE000369	Yangtao2018384	Aveca01vR1g03690.1
GWHTABKE000370	Yangtao2018383	Aveca01vR1g03700.1
GWHTABKE000371	Yangtao2018382	Aveca01vR1g03710.1
GWHTABKE000372	Yangtao2018381	Aveca01vR1g03720.1
GWHTABKE000373	Yangtao2018380	Aveca01vR1g03730.1
GWHTABKE000374	Yangtao2018379	Aveca01vR1g03740.1
GWHTABKE000375	Yangtao2018378	Aveca01vR1g03750.1
GWHTABKE000376	Yangtao2018377	Aveca01vR1g03760.1
GWHTABKE000377	Yangtao2018376	Aveca01vR1g03770.1
GWHTABKE000378	Yangtao2018375	Aveca01vR1g03780.1
GWHTABKE000379	Yangtao2018374	Aveca01vR1g03790.1
GWHTABKE000380	Yangtao2018373	Aveca01vR1g03800.1
GWHTABKE000381	Yangtao2018372	Aveca01vR1g03810.1
GWHTABKE000382	Yangtao2018371	Aveca01vR1g03820.1
GWHTABKE000383	Yangtao2018370	Aveca01vR1g03830.1
GWHTABKE000384	Yangtao2018369	Aveca01vR1g03840.1
GWHTABKE000385	Yangtao2018368	Aveca01vR1g03850.1
GWHTABKE000386	Yangtao2018367	Aveca01vR1g03860.1
GWHTABKE000387	Yangtao2018366	Aveca01vR1g03870.1
GWHTABKE000388	Yangtao2018365	Aveca01vR1g03880.1
